// NAME,
scenario_name,[3] Scorched Earth
briefing_trigger_1217_text,Center here's good a place as any to set our first nuke.
briefing_trigger_718_text,Keep your distance from that hive. No need to waste ammo when the nuke will do the job.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 1ST NUKE/TRIGGERS/PLANT MINI NUKE ============== ",
// 10.merc,
briefing_trigger_351_text,Here comes the welcome party! Keep them off our nuke team!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 1ST NUKE/TRIGGERS/NUKE SQUAD CHECK ============== ",
// 10.merc,
briefing_trigger_965_text,Nuke team! We need you up here!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 1ST NUKE/BRIEFING ============== ",
// 10.merc,
briefing_trigger_834_text,Readings are showing a buzz of Bug activity ahead. That must be our first hive cluster.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET TO THE RENDEZVOUS POINT./BRIEFING ============== ",
// 10.merc,
briefing_trigger_375_text,First nuke set. Let's join up with second team to the north.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 2ND NUKE/TRIGGERS/PLANT MINI NUKE 2 ============== ",
// 10.merc,
briefing_trigger_408_text,Ain't they pleased to see us! Wait till we set off the  surprise package we're leaving for them!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 2ND NUKE/TRIGGERS/NUKE SQUAD CHECK ============== ",
// 10.merc,
briefing_trigger_859_text,"Second target in sight. Make sure we get the nuke techs down to the center of the hive. "
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 2ND NUKE/BRIEFING ============== ",
// 10.merc,
briefing_trigger_1004_text,"Fall in! Engineers, strap up that second nuke!"
briefing_trigger_1220_text,"Director Patel, start counting our money 'cos that's the first hive rigged. Moving to the second cluster now."
//,
// 8.director,
briefing_trigger_1221_text,"--What's that---  report, Fraser? We're having a hard time tracking--- signal--"
//,
// 10.merc,
briefing_trigger_1222_text,Director?
//,
// 6.hidden_hawthorne,
briefing_trigger_1225_text,<static hissing>
//,
// 10.merc,
briefing_trigger_1223_text,Damn. That's what you get for buying surplus Fed junk.
briefing_trigger_1224_text,We're on our own now. Let's move!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: ENTER THE LAB/TRIGGERS/TALK ABOUT LAB ============== ",
// 10.merc,
briefing_trigger_245_text,"Fed intel huh. Looks abandoned, but who knows what they were up to here. Be ready for anything, people. "
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: ENTER THE LAB/BRIEFING ============== ",
// 10.merc,
briefing_trigger_1226_text,Charge set! Let's get up into this research lab to meet with third team.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET TO THE RENDEZVOUS POINT IN THE LAB./TRIGGERS/BUG PURSUIT/PURSUIT BRIEFING ============== ",
// 10.merc,
briefing_trigger_972_text,"Bugs from the second hive, coming after us! They definitely ain't happy about what we're doing!"
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET TO THE RENDEZVOUS POINT IN THE LAB./BRIEFING ============== ",
// 10.merc,
briefing_trigger_971_text,Sounds like the third team’s in trouble. Gotta get there before they're overrun!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET OUT OF THE LAB/BRIEFING ============== ",
// 10.merc,
briefing_trigger_978_text,Third team secured. Form up with the nuke and let's get this done!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLOSE THE LAB GATE/TRIGGERS/OBJECTIVE ============== ",
// 10.merc,
briefing_trigger_1120_text,Access that terminal and close this gate!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLOSE THE LAB GATE/TRIGGERS/TERMINAL CAPTURED ============== ",
// 10.merc,
briefing_trigger_1230_text,We’ve got access to the gate controls. Seal it when everyone’s in the room!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLOSE THE LAB GATE/TRIGGERS/SUCCESS ============== ",
// 10.merc,
briefing_trigger_1015_text,That'll hold 'em.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLOSE THE LAB GATE/BRIEFING ============== ",
// 10.merc,
briefing_trigger_1005_text,Last one in shut that gate!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 3ND NUKE/TRIGGERS/PLANT MINI NUKE 3 ============== ",
// 10.merc,
briefing_trigger_708_text,You know the drill! Get that bomb down!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 3ND NUKE/BRIEFING ============== ",
// 10.merc,
briefing_trigger_488_text,"Here's where we make our money, people."
briefing_trigger_526_text,"Final hive cluster is just ahead, but we've kicked the nest enough that it'll be crawling now. Sooner this whole place is a nuked dust-cloud, the better."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXIT THE CAVE SYSTEM/TRIGGERS/ALMOST THERE 1 ============== ",
// 10.merc,
briefing_trigger_500_text,"Keep up the pace, people!"
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXIT THE CAVE SYSTEM/TRIGGERS/SUCCESS ============== ",
// 8.director,
briefing_trigger_875_text,"Fraser, I'm receiving your signal and our scanners are detecting three active nuclear devices. Are they ready for detonation?"
//,
// 10.merc,
briefing_trigger_1227_text,"Yeah, they’re all set and we're still kicking. Good thing HephaeStar’s got deep pockets."
//,
// 8.director,
briefing_trigger_764_text,You'll get your payment. Dropships are en route. Return to the station.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXIT THE CAVE SYSTEM/BRIEFING ============== ",
// 10.merc,
briefing_trigger_498_text,Charges set. Priming all three now and...
briefing_trigger_874_text,"All green lights! Better start moving, unless you wanna be part of the big Bug stew!"
,
,
,
,
"// ============== /OBJECTIVES/FAIL: ALL UNITS LOST (BEFORE FINAL ESCAPE)/ALL UNITS KILLED OUTCOME ============== ",
// 10.merc,
briefing_trigger_872_text,"No, no, no! This is unacceptable!"
,
,
,
// TRIGGER TEXTS,
speech_trigger_1242,Access acquired
,
speech_trigger_1243,Access acquired
,
// 5.ANNOUNCER,
speech_trigger_803,Construct Nuke
,
,
speech_trigger_1244,Access acquired
,
// 5.ANNOUNCER,
speech_trigger_353,1st Nuke Site
,
// 5.ANNOUNCER,
speech_trigger_810,Defend
,
// 5.ANNOUNCER,
speech_trigger_696,2nd Nuke Site
,
,
speech_trigger_992,Rendezvous Point
,
speech_trigger_1002,Get To Rendezvous
,
// 5.ANNOUNCER,
speech_trigger_695,3nd Nuke Site
,
timer_trigger_789_descr,Nuke Detonation
,
speech_trigger_1094,capture terminal to close the gate
,
speech_trigger_1006,Capture Gate Terminal
,
// 5.ANNOUNCER,
speech_trigger_1037,Construct Nuke
,
,
speech_trigger_975,Recover Nuke
,
,
speech_trigger_1113,Seal the Lab Gate
,
,
