// NAME,
scenario_name,[5] Death from Above
briefing_trigger_480_text,"It ain't looking too good from where I'm sitting, Keys, but we'll do our best to support whoever's in there."
briefing_trigger_333_text,"Hear that, troopers! I want this station locked down with an AA ring all the way around these rooftops! Go!"
,
,
,
,
"// ============== /OBJECTIVES/TAKE THE POLICE BUILDING/TRIGGERS/FAIL ============== ",
// 11.cop,
briefing_trigger_438_text,We've failed to capture the Police HQ in time! The Bugs won't give us a second chance...
,
,
,
,
"// ============== /OBJECTIVES/TAKE THE POLICE BUILDING/BRIEFING ============== ",
// 12.senior,
briefing_trigger_425_text,Excellent. My assault task force has arrived right on cue.
briefing_trigger_426_text,They will make their way to the police HQ and secure the comms satellite on the rooftop.
//,
// 11.cop,
briefing_trigger_628_text,We've only got a small window for them to take control of the station's roof -- the Bugs will get wise soon!
,
,
,
,
"// ============== /OBJECTIVES/KEEP THE SNIPER OR ROCKET TEAM ALIVE/TRIGGERS: KEEP THE SNIPER OR ROCKET TEAM ALIVE/FAIL ============== ",
// 11.cop,
briefing_trigger_702_text,We've wasted our shot to take the HQ! The Bugs have us nailed now!
,
,
,
,
"// ============== /OBJECTIVES/KEEP THE SNIPER OR ROCKET TEAM ALIVE/BRIEFING: KEEP THE SNIPER OR ROCKET TEAM ALIVE ============== ",
// 12.senior,
briefing_trigger_592_text,"You heard 'er, task force -- the op's counting on you to reach that roof in one piece."
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE POLICE BUILDING/TRIGGERS/OFFENSIVES/OFFENSIVES LOOP ============== ",
// 11.cop,
briefing_trigger_633_text,Bugs are heading for the police HQ. Prepare the defenses!
//,
// 12.senior,
briefing_trigger_679_text,The Bugs have reached the HQ. Fire at will!
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE POLICE BUILDING/TRIGGERS/OFFENSIVES/DIALOGUE: CONSTRUCT TURRETS ============== ",
// 12.senior,
briefing_trigger_658_text,"Quit slacking, We need more turrets on that rooftop!"
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE POLICE BUILDING/TRIGGERS/FAIL ============== ",
// 12.senior,
briefing_trigger_392_text,Argh! The roof is overrun! We're pulling out!
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE POLICE BUILDING/BRIEFING ============== ",
// 12.senior,
briefing_trigger_197_text,HQ roof secured! Now for the fun part.
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE POLICE BUILDING/BRIEFING PART 2 ============== ",
// 11.cop,
briefing_trigger_619_text,The Bugs will stop at nothing to take it back. Hope you've got your defenses ready!
,
,
,
,
"// ============== /OBJECTIVES/HOLD AGAINST THE FINAL BIG BUG HORDE/TRIGGERS/SUCCESS ============== ",
// 11.cop,
briefing_trigger_311_text,That did it! They're pulling back!
//,
// 12.senior,
briefing_trigger_705_text,Hope our slug friend is hurting with that one. He's got worse coming once we get down to his level...
//,
// 11.cop,
briefing_trigger_706_text,Then let's not waste any time. Follow me inside -- you're on my op now.
,
,
,
,
"// ============== /OBJECTIVES/HOLD AGAINST THE FINAL BIG BUG HORDE/BRIEFING ============== ",
// 13.cop_vision,
briefing_trigger_559_text,Ungh! I can feel it -- the Brain Bug isn't happy with that. The Bugs are sending everything this way!
//,
// 12.senior,
briefing_trigger_561_text,"Heh. Bring it on, skin-sack. Not one of your stinkin' Bugs is getting to this roof alive!"
,
,
,
,
"// ============== /OBJECTIVES/DESTROY PLASMA BUGS/BRIEFING ============== ",
// 12.senior,
briefing_trigger_313_text,We've got Plasma Bugs covering the next SAM position. I'm trustin' in you flyboys to deal with that. Sic the Gunships on 'em!
,
,
,
,
"// ============== /EVENTS/HOPPER ATTACKS/HOPPER ATTACK WEST ============== ",
// 11.cop,
briefing_trigger_632_text,Ugh. What's that awful buzzing sound?
//,
// 12.senior,
briefing_trigger_703_text,Ah hell! Hoppers incoming! Keep low and blow those buzzards out the sky!
,
,
,
,
"// ============== /EVENTS/HOPPER ATTACKS/HOPPER ATTACK EAST ============== ",
// 11.cop,
briefing_trigger_649_text,More Hoppers in the sky!
,
,
,
,
"// ============== /MUTATIONS/GRENADIERS/GRENADIERS ============== ",
// 12.senior,
briefing_trigger_637_text,"Plasma Grenadiers have got us zeroed! Cowards are just of range, too -- get the Gunships to hunt 'em down!"
,
,
,
,
"// ============== /MUTATIONS/GRENADIERS/MISSILE TURRETS VS GRENADIERS ============== ",
// 12.senior,
briefing_trigger_736_text,Missile turrets are now available for deployment. Position them on the police HQ to deal with Plasma Grenadiers!
,
,
,
// TRIGGER TEXTS,
,
,
speech_trigger_326,Construct Turret
,
speech_trigger_327,Construct Turret
,
speech_trigger_328,Construct Turret
,
speech_trigger_329,Construct Turret
,
speech_trigger_465,Construct Turret
,
timer_trigger_433_descr,Capture the Police HQ
,
,
speech_trigger_456,Construct Turret
,
timer_trigger_678_descr,Attack incoming
,
,
,
speech_trigger_525,Construct Turret
,
speech_trigger_535,Construct Turret
,
speech_trigger_545,Construct Turret
,
speech_trigger_555,Construct Turret
,
timer_trigger_563_descr,Attack incoming
,
,
