build_version,Beta Build
trigger_effect_8,Revealer create
trigger_effect_9,Camera focus
trigger_effect_10,Outcome set
trigger_effect_11,Briefing add
trigger_effect_12,Unit weapon switch
trigger_effect_13,Unit owner switch
trigger_effect_14,Unit combat stance
trigger_effect_15,Trigger enable
trigger_effect_16,Unit AI team
trigger_effect_17,Income set
trigger_effect_18,Timer set
trigger_effect_19,Sound play
trigger_effect_20,Dropships set
trigger_effect_21,Research Points set
trigger_effect_22,Daytime set
trigger_effect_23,Technology unlock
trigger_effect_24,Variable set
trigger_effect_25,Random Trigger
trigger_effect_26,Unit Type switch
trigger_effect_27,Folder enable
trigger_effect_28,Unit remove
trigger_effect_29,Ability execute
trigger_effect_30,Unit order: Move
trigger_effect_31,Unit order: Attack
trigger_effect_32,Screenshot
trigger_effect_33,Pause game
trigger_effect_34,Trigger Selector
trigger_effect_35,Minimap marker
trigger_effect_36,Trigger Frequency
trigger_effect_37,Music play
trigger_effect_38,Prototype Command
trigger_effect_39,Achievement Unlock
trigger_effect_40,Video Player
trigger_effect_41,Text Bubble add
trigger_effect_42,Text Bubble remove
trigger_effect_43,Minimap Ping
trigger_effect_44,AI Operation
trigger_effect_45,Unit order: Advanced Move
trigger_effect_46,Unit redeploy
trigger_effect_47,Unit order: Halt
trigger_effect_48,Revealer remove
trigger_effect_49,Checkpoint save
trigger_effect_50,Unit reinforce
trigger_effect_51,Unit select
trigger_effect_52,Experience set
trigger_effect_53,Unit Component set
trigger_effect_54,Wiki Entry unlock
trigger_effect_55,Blackboard add unit
trigger_effect_56,Unit strength set
trigger_effect_57,Unit Type unlock
trigger_effect_58,Video Recorder
trigger_effect_59,Mutation activate
trigger_effect_60,Hive Status set
trigger_effect_61,Trigger execute
trigger_effect_62,Unit order: Enter carrier
trigger_effect_63,Offensive create
trigger_effect_64,Unit order: Transport
trigger_effect_65,Battle Tier Set
trigger_effect_66,Ability Unlock
trigger_effect_67,Music Stinger
trigger_effect_68,Music Layer
trigger_effect_69,Feature: Reinforcing
trigger_effect_70,Feature: Deployment
trigger_effect_71,Feature: Transportation
trigger_effect_72,Elite Ability unlock
trigger_effect_73,Offensive Stop
trigger_effect_74,Shroud reveal
trigger_effect_75,Mutation disable
trigger_event_0,Any Event
trigger_event_1,Game Start
trigger_event_2,Combat Event
trigger_event_3,Capture VP Event
trigger_event_4,Move Event
trigger_event_5,Scenario Init
trigger_event_6,Build Object
trigger_event_7,Kill Event
trigger_event_8,Game Tick
,
// AI TASKS,
ai_task_0,Attack nearest
ai_task_1,Patrol area
ai_task_2,Attack location
ai_task_3,Move to location
ai_task_4,Defend location
ai_task_5,Idle
,
difficulty_title,Select difficulty level
difficulty_level,Difficulty
difficulty_0,Very Easy
difficulty_1,Easy
difficulty_2,Normal
difficulty_3,Challenging
difficulty_4,Brutal
difficulty_damage_modifier,Weapon damage modifier
,
click_to_know_more,Would you like to know more?
,
input_player_default,Mobile Infantry
,
end_battle_exit,Exit Battle
end_battle_time,Play Time
end_battle_restart,Restart Battle
end_battle_main_menu,Exit to Main Menu
end_battle_victory,Mission Accomplished
end_battle_defeat,Defeat
,
pause_menu_confirmquit,Quit to menu
pause_menu_willbelost,"Are you sure you want to quit the mission?

Your progress will not be saved."
pause_menu_willbesaved,
pause_menu_saveorload,Save or Load
pause_menu_saveandquit,Save & Quit
pause_menu_willbesaved,"Are you sure you want to quit the mission?

Your progress will be saved automatically."
pause_menu_abort,Abort Mission
pause_menu_abort_desc,Are you sure you want to abort the mission and go back to the main menu?
pause_menu_returneditor,Return to Editor
pause_menu_loadcheckpoint,Load Autosave
pause_menu_restart,Restart Mission
pause_menu_quicksave,Quick Save
,
quit_fed_net,Are you sure you want to quit?
quit_fed_net_2,Quit FED NET TV?
,
change_language_dialog_title,Restart Required
change_language_dialog_text,To change the game language you have to restart the game.
select_language,Change game language
language_english,English
language_german,German
language_french,French
language_polish,Polish
language_portuguese,Portuguese
language_chinese,Chinese
language_russian,Russian
language_spanish,Spanish
,
// DON'T TRANSLATE,
,
language_tooltip_english,Change game language to English
language_tooltip_german,Spielsprache zu Deutsch ändern
language_tooltip_french,Changer la langue du jeu en Français
language_tooltip_italian,Passa alla lingua italiana
language_tooltip_japanese,ゲームの言語を日本語に切り替える
language_tooltip_spanish,Cambia el idioma a español
language_tooltip_russian,Переключение игры на русский язык
language_tooltip_chinese,将游戏语言更改为简体中文
language_tooltip_polish,Zmień język gry na polski
language_tooltip_portuguese,Altera idioma do jogo para português brasileiro
,
