sub_foothold_0,The battle of Klendathu. A day that will live in infamy.
sub_Human_Mine_0,"Peace and prosperity! After the bugs’ defeat, Kwalasha has become an oasis of calm in a violent galaxy."
sub_Human_Mine_1,"Grateful colonists enjoy an idyllic life working in the mines, safe under the Federation’s watchful eye."
sub_Human_Mine_2,"The Mobile Infantry stands vigilant, ready to respond to any threat, big or small. Even in peacetime, there’s still work to do."
sub_Human_Mine_3,"Just today, a group of miners were trapped underground after a cave-in."
sub_Human_Mine_4,"Hang tight down there, boys! Help is on the way!"
,
sub_Burning_Skies_0,"Fort Meru has fallen to the Bugs… Now it’s humanity’s turn to strike back!"
sub_Burning_Skies_1,Federation forces launch a massive counterattack to cleanse the planet.
sub_Burning_Skies_2,"In the air and on the ground, they’ll deliver a swift one-two punch that’ll catch the Bugs off guard."
sub_Burning_Skies_3,Their superior numbers are no match for the Federation’s superior tactics.
,
sub_Canyon_0,A bitter setback for humanity! Thousands are dead after the military’s failed offensive.
sub_Canyon_1,"In this dark hour, the fate of Kwalasha hangs by a thread. But one thing that remains undefeated is the courage of the brave men and women of the Mobile Infantry."
sub_Canyon_2,"Groups of survivors are scattered across the planet’s harsh desert, struggling to return to civilization and jump back into the fight."
sub_Canyon_3,"They haven’t given up, and neither shall we!"
,
sub_Razor_Ridge_0,No more intelligence leaks! Psychic Operatives have discovered the Bugs’ despicable methods for stealing our secrets.
sub_Razor_Ridge_1,And just in time: Federation scientists are developing a new wonder weapon to annihilate the Arachnid threat.
sub_Razor_Ridge_2,And it is Kwalashan industry that is providing the key material components behind this miracle of military engineering.
sub_Razor_Ridge_3,Citizens can rest easy knowing its secrets are safe from prying Bug eyes.
,
sub_Guardians_of_Steel_0,All out war rages on Kwalasha.
sub_Guardians_of_Steel_1,"Federatsiyagrad, the planet’s capital, is the scene of bitter fighting as the Mobile Infantry mount a stalwart defense against the invading bug hordes."
sub_Guardians_of_Steel_2,Local forces are surrounded - but help is on the way.
sub_Guardians_of_Steel_3,"The Sky Marshal vows “Not one step back!”, dispatching the full might of human technology to hold the line."
,
sub_Sewers_0,Savagery in the sewers!
sub_Sewers_1,"Bugs infest the intricate mazes of pipes and tunnels beneath Federatsiyagrad, using these subterranean passages to roam freely throughout the city."
sub_Sewers_2,Here comes the eviction crew!
sub_Sewers_3,"Mobile Infantry forces storm underground to kick out the Arachnid intruders. They don’t mind a little dirt and grime, not when there’s bugs to kill!"
,
sub_City_Fight_0,"For weeks, Kwalasha’s capital has been an urban battlefield."
sub_City_Fight_1,"The fight for Federatsiyagrad is now a war of attrition, as brave defenders hold back what seems like an endless tide of Arachnid warriors."
sub_City_Fight_2,"But after this long ordeal, victory is finally within reach."
sub_City_Fight_3,A powerful counterattack is being planned to drive out the Bugs and save the city.
,
sub_Perimeter_0,And stay out! Arachnid forces are on the run after the Mobile Infantry routs them from the city.
sub_Perimeter_1,"To prevent further incursions, the military is building a line of fortification around Kwalasha’s industrial sector."
sub_Perimeter_2,Troopers are busy clearing out the last few insect stragglers from the green zone.
sub_Perimeter_3,"Safety, security, and a return to normal life are just around the bend!"
,
sub_Airfield_0,A heavy price has been paid for Kwalasha’s freedom - but victory is closer than ever!
sub_Airfield_1,"Fleeing our superior airpower, the Bugs have retreated into deep underground caves that even our bombs can’t reach."
sub_Airfield_2,"While the Fleet keeps them pinned down, the M.I. mobilizes for a final assault on Arachnid territory."
sub_Airfield_3,"BREAKING NEWS: The Fleet’s main airbase is under attack! Bugs have breached the safety zone, finding a weak spot in the surrounding ring of steel."
sub_Airfield_4,"This targeted assault seems designed to cripple our aerial capabilities. Losing those strike craft would be a fatal setback for the coming offensive!"
,
sub_Hold_the_Gate_0,"The Sky Marshal’s master plan revealed: lure the enemy out of hiding with the temptation of an easy victory! And after letting them in, we’ve slammed the door behind them."
sub_Hold_the_Gate_1,"M.I forces have recaptured a key defence post, blocking off the mountain pass and sealing the Bugs in open desert."
sub_Hold_the_Gate_2,"Caught by the jaws of a steel trap, those vermin have nowhere to run, nowhere to hide. Easy pickings for our airstrikes!"
,
sub_Mountain_0,"Let’s finish the job! With Arachnid corpses littering the burning sands, it’s finally time to stamp out the Bug infestation on Kwalasha."
sub_Mountain_1,Federation troops surround the last remnant of hostile territory and begin their march towards victory.
sub_Mountain_2,"To end the war over the planet, only one question remains: Where is the Brain Bug?"
,
sub_Silent_Night_0,Lost behind enemy lines!
sub_Silent_Night_1,One gifted psychic officer has unraveled the Bugs’ secret strategy to conquer Kwalasha.
sub_Silent_Night_2,But his shuttle has gone down deep in Bug territory and now a desperate rescue is mounted to recover him and the vital knowledge he possesses.
sub_Silent_Night_3,The Mobile Infantry never leave a comrade behind.
,
sub_outro_0,The Bug menace on Kwalasha has been exterminated.
sub_outro_1,"The Federation’s victory is a victory for all humankind, bringing prosperity and harmony to this troubled world."
sub_outro_2,"It’s a system that protects, a system that works, a system that needs planets like Kwalasha to keep the fight going on all fronts."
sub_outro_3,Are you doing your part?
