wiki_title,Federal Archives
wiki_threat_infestation_descr,Chariots bugs will attempt to reopen and repopulate empty Hives.
,
wiki_threat_colonygrowth_title,Hive Growth
wiki_threat_colonygrowth_descr,"This threat report indicates that each Bug Hive and Bug Tunnel will have its strength increased by 1.

This phenomenon can occur multiple times throughout a single operation, each time increasing the strength of the Arachnid colonies."
,
,
,
,
,
,
intro_play_klendathu,Play the Battle of Klendathu
intro_go_to_menu,Continue to the main menu
intro_go_menu_dialog_title,Continue to Main Menu
intro_go_menu_dialog_descr,"Are you sure you want to skip the Klendathu special?

You can replay the battle later through the Scenarios menu."
intro_language_title,Select your language
intro_welcome_title,Welcome to FedNet TV
intro_welcome_text,"Congratulations for installing FedNet TV on your device!

FedNet TV brings the news from across the galaxy. Stay tuned for the latest accomplishments of the Federation that make your life better and safer.

FedNet TV features have inspired the careers of many successful citizens, bringing them on their journey of service and citizenship!"
intro_klendathu_title,FedNet Special: The Battle of Klendathu
intro_klendathu_question,Would you like to know more?
,
notification_losing_base,Base under attack
notification_base_lost,Base lost
notification_base_captured,Base captured
,
tooltip_objective_reward,Objective reward
objective_reward_none,None
objective_reward_supply,Supply
objective_reward_support,War Support
objective_reward_dropship,Dropships
objective_reward_challenge,Challenge Points
,
ability_ripper_barrage_title,Ripper Blast
ability_ripper_barrage_descr,Fire a volley of cluster shot to sweep an area clear of enemies. Very effective at close range against lightly armored targets.
,
pause_menu_save,Save Game
pause_menu_load,Load Game
,
button_new_save,Create new save
button_overwrite_save,Overwrite
saving_failed,Saving game failed
saving_failed_diskspace,Saving of the game has failed. Disk is almost full.
saving_failed_error,Saving of the game has failed. An error has occured.
dialog_diskspace_warning,Warning: Almost out of disk space
//NOTE: # numbers will be replaced in the text with diskspace numbers (GB),
dialog_diskspace_warning_descr,"The drive where Saves are stored is almost full. This can result in the game not saving properly. 

Available: #1
Required: #2
Drive: #3"
,
dialog_overwrite_save_title,Overwrite Savegame
dialog_overwrite_save_text,Are you sure you want to overwrite the selected savegame?
dialog_new_save_title,Create New Savegame
dialog_new_save_text,Insert a name for your savegame
new_save_name,New Savegame
trigger_effect_77,Offensive ID clear
trigger_condition_24,Unit Experience
requires_battle_tier,Requires Battle Tier
platform_already_exists,This building is already on the map. Click to focus camera on this platform.
swap_platform_to,Change platform building to:
cannot_swap_platform_if_units_exist,There are units deployed that require this building.
button_load_savegame,Load Savegame
tooltip_withdraw_unit,Dropship transport
tooltip_withdraw_unit_descr,"Transport units between two drop sites. Useful for rapid redeployment over long distances."
tooltip_disband,Disband unit
tooltip_disband_descr,Select a dropsite to pick up the unit and permanently disband it. This will recover its Supply and War Support costs.
options_camera_speed,Camera Speed
options_graphics,Graphics Settings
options_hotkeys_generic,Generic Hotkeys
options_hotkeys_camera,Camera Hotkeys
options_hotkeys_scrolling,Scrolling
options_hotkeys_grid,Unit Actions Grid
//NOTE: Spacing of characters below is just for cosmetic effect and not required in translation,
fedflix_play_button,P L A Y
fedflix_category_special,Specials
fedflix_category_kwalasha,Campaign: Kwalasha
fedflix_category_challenges,Challenges
,
new_campaign_title,Do your part
new_campaign_kwalasha,Kwalasha
new_campaign_description,"Discover the career for you and opportunities you never knew existed."
new_campaign_difficulty,Campaign Difficulty
new_campaign_playername,Division Name 
new_campaign_playername_default,6th Infantry Division
new_campaign_start_button,Enlist Now
new_campaign_back_button,Go back
,
button_credits,Credits
credits_developed_by, Developed by
credits_lead_designer, Lead Designer
credits_lead_programmer, Lead Programmer
credits_lead_artist, Lead Artist
credits_artists, 2D & 3D Artists
credits_music_by, Music by
,
unit_18,M-11 Marauder (Flamethrower)
unit_25,M-11 Marauder (Howitzer)
unit_40,M-11 Marauder (Gatling Gun)
unit_18_descr,"The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. Equipped with a M2A 5-2 Flamethrower and Morita Cross Heavy Machine Gun, it possesses unmatched close-range firepower."
unit_25_descr,"The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. To deal effectively with armored targets it can be equipped with the M779 Ultralight-weight Howitzer."
unit_40_descr,"The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. Combined with the powergun M648 Vulcan Rotary Cannon this machine can lay heavy suppressive fire upon the enemy."
,
trigger_effect_76,Blackboard Clear
,
notification_hive_activity,Bug Hive activity detected
,
render_quality_0,Fastest
render_quality_1,Simple
render_quality_2,Good
render_quality_3,High
render_quality_4,Maximum
,
pause_menu_sendfeedback,Send Feedback
,
confirm_demolish_unit,Are you sure you want to destroy the selected unit?
,
scenario_locked,Locked
scenario_locked_descr,Complete the previous scenario first to unlock this scenario
tooltip_continue_latest_save,Load the latest campaign savegame
,
feedback_form_feedback,Send Feedback
feedback_form_fatal,Fatal Crash
feedback_form_sending,Uploading report...
feedback_form_input_title,Enter title...
feedback_form_input_descr,Enter description...
feedback_form_type_bug,Bug
feedback_form_type_request,Feature request
feedback_form_type_performance,Performance issue
feedback_form_consent,"By submitting this report you consent to sending the following data to our servers:

• Game log file
• The screenshot on the left of this form
• Latest savegame (when available)
• All information that you entered in this feedback form"
,
//KLENDATHU,
speech_trigger_485_1912,Green units cannot be controlled
//HOLE PATROL,
speech_trigger_260_821,Avoid this choke point!
briefing_trigger_262_822_text,There is a radio tower ahead of your position.
briefing_trigger_262_823_text,"Get up that slope and bring that station online."
