// NAME,
scenario_name,[4] Burning Bridges
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/TRIGGERS/WAVES/OTHER WAVES/WAVE WHEN REACHING 2ND HIVE ============== ",
// 11.cop,
briefing_trigger_529_text,Ready up! Another attack coming!
briefing_trigger_497_text,The Bugs are coming!
,
,
,
,
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/TRIGGERS/FAIL: LOST BLOCKADE ============== ",
// 11.cop,
briefing_trigger_597_text,They're all over us! We're done for!
//,
// 12.senior,
briefing_trigger_598_text,"Don't die on me now, Keys! Keys!?"
,
,
,
,
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/BRIEFING ============== ",
// 12.senior,
briefing_trigger_394_text,Goddamnit! Our flyboys missed their mark on the bridge out of the district.
briefing_trigger_430_text,Fleet's screw-up gives the Bugs free reign to keep on coming.
briefing_trigger_398_text,Best we can do for now is contain them by raising the drawbridges...
briefing_trigger_145_text,... while our cop buddies keep the highway locked down. We'll find a way to fix this mess after that!
,
,
,
,
"// ============== /OBJECTIVES/OPEN THE DRAWBRIDGES/TRIGGERS/BRIDGES/DIALOGUE TIMELINE ============== ",
// 12.senior,
briefing_trigger_498_text,Drawbridge is up. Good work!
briefing_trigger_499_text,One less bridge for the Bugs to use.
,
,
,
,
"// ============== /OBJECTIVES/OPEN THE DRAWBRIDGES/TRIGGERS/DEBRIEFING ============== ",
// 12.senior,
briefing_trigger_410_text,That's the Bugs cut off from the drawbridges. Now to kick the rest of 'em back into the Ganda.
//,
// 11.cop,
briefing_trigger_500_text,Save some for us -- we're packing up and heading to you.
,
,
,
,
"// ============== /OBJECTIVES/OPEN THE DRAWBRIDGES/BRIEFING ============== ",
// 12.senior,
briefing_trigger_327_text,"We've pushed across the first bridge, Keys. We'll close up shop behind us to ease the attacks on your end."
briefing_trigger_72_text,"Let's keep raising the bridges all along the canal, troopers."
,
,
,
,
"// ============== /OBJECTIVES/CLEAR HIVES/TRIGGERS/DEBRIEFING ============== ",
// 12.senior,
briefing_trigger_413_text,Bug nests burned. Now to raise the remaining drawbridges and keep it that way.
,
,
,
,
"// ============== /OBJECTIVES/CLEAR HIVES/BRIEFING ============== ",
// 12.senior,
briefing_trigger_60_text,Won't be much use closing the island if we leave Bug Hives lying around. Let's clear them out!
,
,
,
,
"// ============== /OBJECTIVES/KILL PLASMA BUG/BRIEFING ============== ",
// 12.senior,
briefing_trigger_342_text,Plasma Bug in the AO! We'll catch hell trying to fight under its bombardment.
briefing_trigger_350_text,Bring up the Cyclones. The M.I.'s newest toy will be able to rush its position with ease!
,
,
,
,
"// ============== /OBJECTIVES/ESTABLISH WAVEBREAKERS/TRIGGERS/DIALOGUE TIMELINE ============== ",
// 12.senior,
briefing_trigger_599_text,Ha! Now that's a weapon!
briefing_trigger_600_text,Wavebreaker online!
briefing_trigger_601_text,"All Wavebreaker batteries set. Better get runnin', Bugs!"
,
,
,
,
"// ============== /OBJECTIVES/ESTABLISH WAVEBREAKERS/BRIEFING ============== ",
// 12.senior,
briefing_trigger_271_text,It's about time we turn the tide of this thing. Get a couple Wavebreaker batteries up and really show the Bugs who they're messing with!
,
,
,
,
"// ============== /OBJECTIVES/REBOOT THE POWER TURBINE/BRIEFING ============== ",
// 12.senior,
briefing_trigger_82_text,Of course... the last bridge has no damn power! It'll need rebooting from the nearby power station.
,
,
,
,
"// ============== /OBJECTIVES/PLACE EXPLOSIVES ON THE MAIN BRIDGE/TRIGGERS/OUTRO > VICTORY/DIALOGUE ============== ",
// 12.senior,
briefing_trigger_115_text,Bombs planted -- everyone off the bridge!
briefing_trigger_469_text,"Sorry, Bugs. This island is closed to ugly suckers -- find some place else to stay!"
,
,
,
,
"// ============== /OBJECTIVES/PLACE EXPLOSIVES ON THE MAIN BRIDGE/BRIEFING ============== ",
// 12.senior,
briefing_trigger_90_text,"The sector is secured. Now, time to finish the job our flyboys left behind."
briefing_trigger_92_text,Bring up the techs -- we're blowing this damn bridge to hell ourselves!
,
,
,
,
"// ============== /MUTATIONS/PLASMA BUG ============== ",
// 12.senior,
briefing_trigger_418_text,Plasma Bugs! We shouldn't be hanging around in their range anyway -- just get the explosives down!
,
,
,
,
"// ============== /EVENTS/DIALOGUE: LOCUST TANKER/DIALOGUE: LOCUST TANKER ============== ",
// 13.cop_vision,
briefing_trigger_470_text,Argh... there it is again... Do Fed Intel ever teach you how to get used to this?
//,
// 12.senior,
briefing_trigger_471_text,"You better not be in my head, Keys!"
//,
// 13.cop_vision,
briefing_trigger_472_text,"It's worse than whatever you've got bouncing around in there, Major. Something nasty is lurking in that plant..."
//,
// 12.senior,
briefing_trigger_602_text,Then I s'pose I should introduce myself properly...
,
,
,
,
"// ============== /EVENTS/DIALOGUE: LOCUST TANKER/LOCUST TANKER SPAWNS ============== ",
// 12.senior,
briefing_trigger_476_text,Come on out you ugly son of a--!
briefing_trigger_477_text,"--whoa! Whatever stink-hole the Bugs dredged you up from, you took half of it with you!"
,
,
,
,
"// ============== /EVENTS/DIALOGUE: TURRETS ON BRIDGE ============== ",
// 12.senior,
briefing_trigger_572_text,Don’t let those stinkin' Bugs bully us back! Get some turrets down and show 'em proper firepower!
,
,
,
// TRIGGER TEXTS,
speech_trigger_38,Capture to raise bridge
,
speech_trigger_37,Capture to raise bridge
,
speech_trigger_257,Capture to raise bridge
,
speech_trigger_83,Power Terminal
,
speech_trigger_106,Construct
,
speech_trigger_108,Construct
,
,
,
speech_trigger_152,Blockade
,
speech_trigger_260,Construct
,
speech_trigger_269,Construct
,
speech_trigger_270,Construct
,
speech_trigger_360,Kill with M7 Cyclone
,
timer_trigger_708_descr,Attack incoming
,
,
