// NAME,
scenario_name,[4] Cave Cleaning
"// ============== /OBJECTIVES/OBJECTIVE: KILL TANKER/TRIGGERS/SUCCESS ============== ",
// 0.hawthorne,
briefing_trigger_21_text,Tanker's down! Regroup and move up.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: KILL TANKER/TRIGGERS/TIP: USE GRENADES ============== ",
// 0.hawthorne,
briefing_trigger_77_text,Looks like it’s wounded. We can take this thing down with grenades.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: KILL TANKER/ENTER THE ROOM ============== ",
// 0.hawthorne,
briefing_trigger_258_text,Big chamber up ahead. Looks like the bugs enlarged it to make room for something.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: DEFEAT CONTROL ROOM ATTACK/BRIEFING ============== ",
// 1.ava advisor,
briefing_trigger_89_text,Heads up. Security cameras reveal bugs on the way!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH SURVIVORS/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_194_text,"Bugs are down.  What you got for us next, Cortez?"
//,
// 1.ava advisor,
briefing_trigger_229_text,"Colonel, cameras are picking up a group of survivors trapped further down the mine."
//,
// 0.hawthorne,
briefing_trigger_230_text,"Alright, let's go rescue these boys and girls."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR THE DRILLING ROOM/BRIEFING ============== ",
// 1.ava advisor,
briefing_trigger_200_text,Fine job on the rescue Colonel.  But we're detecting multiple bug contacts beyond that door.
//,
// 0.hawthorne,
briefing_trigger_201_text,"Alright, roger that.  You new guys, lock and load.  We're gonna kill some bugs."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: FINAL TANKER/TRIGGERS/SUCCESS ============== ",
// 0.hawthorne,
briefing_trigger_3_text,"Congrats troopers, two tankers down in one day! When we get back topside, feel free to push those bragging rights."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: FINAL TANKER/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_97_text,"Watch out, another Tanker!"
,
,
,
,
"// ============== /EVENTS/EVENT: REINFORCEMENTS WEST/TRIGGERS/SPEECH ============== ",
// 0.hawthorne,
briefing_trigger_301_text,"There’s one of the advance teams. Troopers, you’re coming with us."
,
,
,
,
"// ============== /EVENTS/EVENT: REINFORCEMENTS NORTH/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_61_text,More of our guys! Glad we ran into them.
,
,
,
,
"// ============== /EVENTS/EVENT: FIRST BROOD NEST/SPOT BROOD NEST ============== ",
// 0.hawthorne,
briefing_trigger_255_text,We have to take out that nest before continuing.
,
,
,
,
"// ============== /EVENTS/EVENT: DEFENSIVE STAND/BRIEFING: ANNOUNCE BATTLE ============== ",
// 0.hawthorne,
briefing_trigger_25_text,"I hear movement, and it ain’t coming on two legs. Defensive formation! Maintain a clear field of fire."
,
,
,
,
"// ============== /EVENTS/EVENT: DEFENSIVE STAND/BRIEFING: BATTLE OVER ============== ",
// 0.hawthorne,
briefing_trigger_40_text,That’s it for now. Move up.
,
,
,
,
"// ============== /EVENTS/DIALOGS/NO VO - CONTROL ROOM GATE BLOCKED ============== ",
// 0.hawthorne,
briefing_trigger_100_text,"Damnid, the corridor is blocked. No other choice but to go through this tunnel and see if we can find another route."
,
,
,
,
"// ============== /EVENTS/DIALOGS/OUT OF BUG CAVES ============== ",
// 0.hawthorne,
briefing_trigger_101_text,Finally out of Archie's caves... This should position us on the far end of the Control Room.
,
,
,
,
"// ============== /EVENTS/DIALOGS/ENTER FIRST CAVE ============== ",
// 0.hawthorne,
briefing_trigger_239_text,"We’re on bug home turf, so be ready for the worst."
,
,
,
// TRIGGER TEXTS,
,
,
,
,
// 5.ANNOUNCER,
speech_trigger_81,Locked Door
,
// 5.ANNOUNCER,
speech_trigger_82,Locked Door
,
// 5.ANNOUNCER,
speech_trigger_83,Capture the Control Room
,
,
,
,
,
,
,
,
,
// 5.ANNOUNCER,
speech_trigger_236,Clear the Drilling Site
,
// 5.ANNOUNCER,
speech_trigger_254,Destroy the Brood Nest
,
,
,
